Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Georgia,GEO,47.9,36.8,10.9,10.5,10.2,10,9.8,9.7,9.6,9.5,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Germany,DEU,8.5,5.4,4,3.9,3.9,3.9,3.8,3.7,3.6,3.6,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Ghana,GHA,127.7,100.1,57.8,55.4,53.1,51,49.1,47.2,45.5,44,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Greece,GRC,10.4,6.4,4.3,4.4,4.4,4.3,4.2,4,3.9,3.7,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Grenada,GRD,22.3,15.4,16.1,16.2,16.3,16.4,16.5,16.5,16.4,16.2,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Guatemala,GTM,80.4,52.1,29.5,28.4,27.3,26.3,25.4,24.6,23.8,23,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Guinea,GIN,232.7,165.6,114.5,112.6,110.1,108.3,106.2,104,101.6,98.7,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Guinea-Bissau,GNB,222.8,174.5,95.5,91.8,88.6,85.5,82.4,79.5,77,74.3,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Guyana,GUY,60.9,46.6,34.1,33.1,32.2,31.3,30.3,29.4,28.5,27.7,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Haiti,HTI,144.9,103.9,72,70.1,68.2,66.3,64.4,62.5,60.5,58.6,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Honduras,HND,58.3,37.5,21.3,20.5,19.8,19.1,18.4,17.8,17.1,16.6,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Hungary,HUN,17.2,10.1,5.4,5.1,4.7,4.5,4.2,4.1,4,4,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Iceland,ISL,6.4,4,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.6,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,India,IND,126.5,91.6,46.2,43.6,41,38.7,36.4,34.3,32.4,30.6,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Indonesia,IDN,84,52.2,28.8,27.7,26.6,25.6,24.6,23.8,22.9,22.2,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,"Iran, Islamic Rep.",IRN,57.3,36.1,16.1,15.5,15,14.5,14,13.5,13,12.6,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Iraq,IRQ,54,44.4,30.8,29.8,28.8,27.9,27,26.2,25.4,24.5,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Ireland,IRL,9.1,7.1,3.8,3.7,3.6,3.5,3.4,3.3,3.2,3.1,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Israel,ISR,11.6,6.9,4,3.9,3.8,3.8,3.7,3.5,3.4,3.4,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Italy,ITA,9.7,5.6,3.6,3.5,3.4,3.3,3.2,3,2.8,2.6,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Jamaica,JAM,28,20.9,15.4,15,14.6,14.1,13.7,13.2,12.8,12.4,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Japan,JPN,6.3,4.5,2.8,2.8,2.7,2.6,2.5,2.5,2.4,2.3,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Jordan,JOR,36,26.8,18,17.5,17,16.5,16,15.5,15,14.6,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Kazakhstan,KAZ,51.7,42.6,13,11.9,11,10.5,10.3,10.2,10.2,10.3,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Kenya,KEN,102,98.8,48.1,45.9,43.8,42.4,40.8,39.4,38.6,37.2,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Kiribati,KIR,91.6,67.9,59.1,57.5,56.1,54.4,52.9,51.4,49.8,48.2,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,"Korea, Dem. People's Rep.",PRK,43.4,60,22.4,21.1,20,19,18.2,17.3,16.5,15.4,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,"Korea, Rep.",KOR,15.6,7.5,3.6,3.5,3.4,3.3,3.2,3.1,3,2.9,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Kosovo,XKX,104.6,48.8,15.3,14.4,13.5,12.6,11.9,11.2,10.5,10,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Kuwait,KWT,18,12.8,9.3,9.1,9,8.9,8.8,8.8,8.8,8.7,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Kyrgyz Republic,KGZ,64.6,49.9,23.4,22.3,21.1,20,19,18.3,17.8,17.4,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Lao PDR,LAO,154.1,107.3,56.2,53.7,51.5,49.4,47.5,45.8,44.1,42.5,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Latvia,LVA,16.9,14.2,5.5,5.1,4.7,4.4,4.2,4,3.8,3.7,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Lebanon,LBN,32.2,20.1,9.7,9.4,9.2,9,8.8,8.7,8.5,8.2,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Lesotho,LSO,84.5,107.5,84,82.5,77.8,75.5,76.4,77.2,75.5,72.9,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Liberia,LBR,263.6,189.2,92.2,88.3,86.3,84.5,82.6,80.6,78.3,76,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Libya,LBY,41.8,28.1,13.8,13.3,12.8,12.3,11.9,11.5,11.1,10.8,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Lithuania,LTU,15,10.7,5,4.9,4.7,4.4,4.1,3.8,3.5,3.3,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Luxembourg,LUX,8.8,4.5,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.7,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Madagascar,MDG,156,105.3,66.4,66,65.8,65.7,65.8,66.1,66.1,66,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Malawi,MWI,244.9,174.2,59.8,56.6,53.5,50.7,47.8,45.6,43.5,41.9,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Malaysia,MYS,16.6,10.2,8.1,8.2,8.2,8.1,8,7.9,7.7,7.6,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Maldives,MDV,85.7,39.1,10.5,9.8,9,8.3,7.6,7,6.4,6,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Mali,MLI,231.4,187.7,119,115.6,112.4,109.3,106.2,103.1,100.1,97.1,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Malta,MLT,11.4,7.6,6.7,6.6,6.5,6.4,6.3,6.1,6,5.8,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Marshall Islands,MHL,47.5,42.1,36.4,35.5,34.6,33.6,32.7,31.8,30.7,29.7,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Mauritania,MRT,117.2,98.8,50.5,48.9,47.4,46,44.6,43.2,41.8,40.5,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Mauritius,MUS,23.1,18.8,14.8,14.6,14.6,14.9,15.4,15.9,16.3,16.6,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Mexico,MEX,45.4,28.3,16.8,16.2,15.7,15.2,14.7,14.2,13.7,13.2,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,"Micronesia, Fed. Sts.",FSM,49.2,38.5,31.1,30.2,29.2,28.2,27.3,26.4,25.6,24.9,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Moldova,MDA,33.4,31.5,16,15.8,15.5,15.3,15,14.7,14.5,14.2,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Monaco,MCO,7.8,5.2,3.6,3.5,3.4,3.3,3.2,3.1,3,2.9,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Mongolia,MNG,107.4,63.6,20.4,19.4,18.5,17.6,16.8,16,15.4,14.7,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Montenegro,MNE,16.5,14.2,4.5,4.1,3.7,3.3,3,2.7,2.5,2.3,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Morocco,MAR,80.8,52.4,24.9,23.6,22.4,21.3,20.4,19.5,18.7,18,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Mozambique,MOZ,245.7,170.7,88.3,84,80.8,78.4,76.3,73.5,71.6,69.6,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Myanmar,MMR,115.3,89.3,53.8,51.8,49.9,48.1,46.4,44.8,43.2,41.8,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Namibia,NAM,72.8,77,45.5,46.2,45.5,44.4,43.6,41.9,40.3,39,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Nauru,NRU,67.2,42.6,34.2,33.3,32.4,31.4,30.5,29.6,28.6,27.6,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Nepal,NPL,138.6,79.1,37.4,35.5,33.7,32.1,30.6,29.3,28.2,27.2,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Netherlands,NLD,8.3,6.2,4.1,4.1,4,4,4,4,4.1,4.1,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,New Zealand,NZL,11.2,7.4,5.7,5.5,5.3,5.2,5,4.9,4.8,4.7,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Nicaragua,NIC,66.9,38.8,19.8,18.8,17.8,16.8,15.8,14.9,14,13.3,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Niger,NER,331.6,228.5,121.6,120.2,119.1,118.4,117.7,117,116.3,115.2,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Nigeria,NGA,209.3,182.4,128,126.4,124.7,122.4,119.6,116.8,113.8,110.8,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,North Macedonia,MKD,36.9,16,11.2,11.4,10.9,9.6,8.1,6.8,5.9,5.3,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Norway,NOR,8.7,4.9,2.8,2.7,2.6,2.5,2.4,2.4,2.3,2.2,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Oman,OMN,39,16.3,11.3,11.2,11.1,11,10.8,10.6,10.4,10.1,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Pakistan,PAK,139.8,108.1,78.4,76.2,73.9,71.8,69.6,67.5,65.5,63.3,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Palau,PLW,35.3,28.5,20.4,19.7,19.1,18.5,17.9,17.4,16.8,16.2,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Panama,PAN,31.4,26,17.5,16.9,16.4,15.9,15.4,14.8,14.4,13.9,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Papua New Guinea,PNG,84.9,71.1,52.5,51.1,49.7,48.3,46.9,45.5,44.2,42.8,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Paraguay,PRY,45.6,33.8,22.9,22.2,21.4,20.8,20,19.4,18.7,18.2,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Peru,PER,80.2,38.1,17.1,16.5,16.1,15.7,15.3,14.9,14.5,14.1,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Philippines,PHL,56.6,37.7,30.2,29.8,29.3,28.7,28,27.3,26.5,25.7,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Poland,POL,17.4,9.3,5,4.9,4.8,4.7,4.5,4.4,4.4,4.3,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Portugal,PRT,14.7,7.2,3.6,3.7,3.7,3.6,3.6,3.4,3.3,3.1,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Qatar,QAT,20.8,12.5,8.1,7.8,7.4,6.9,6.5,6.1,5.7,5.3,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Romania,ROU,31.1,21.5,9.9,9.2,8.5,7.9,7.4,7,6.7,6.4,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Russian Federation,RUS,21.6,19.4,8.9,8.2,7.5,6.9,6.3,5.8,5.4,5.1,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Rwanda,RWA,149.9,185.4,49.8,47.7,46.1,44.6,43.4,42.1,40.7,39.4,..,..
